[2026-01-05 16:25:50] INFO: STARTING FRESH SCRAPE
[2026-01-05 16:25:50] INFO: Scraping 9638 facilities (100.0% remaining)
[2026-01-05 16:45:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:06:01] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:21:29] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:35:13] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:45:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:02:04] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:18:10] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:30:33] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:45:39] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:59:12] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:10:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:24:54] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:38:08] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:55:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:08:11] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:19:32] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:33:06] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:43:45] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:13:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:38:13] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:00:11] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:30:29] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:57:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:19:18] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:37:36] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:56:44] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 00:31:41] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:07:15] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:47:10] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 02:30:52] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:03:35] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:31:02] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 04:19:03] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:06:31] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:40:48] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 06:13:12] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 06:44:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 07:20:38] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 08:20:49] INFO: Checkpoint: Saving batch of 100 facilities
