attributes_organization_name,attributes_client_name,attributes_site_name,attributes_primary_facility_name,attributes_client_id,attributes_site_id,attributes_primary_facility_id,attributes_sub_facility_name,attributes_sub_facility_id,attributes_primary_facility_type,attributes_primary_facility_kind,attributes_other_facility_id,attributes_sub_facility_type,attributes_sother_fid,attributes_client_relationship,attributes_site_status,attributes_primary_facility_status,attributes_sub_facility_status,attributes_compliance,attributes_shape_fid,.source,.downloaded_at
BITTINGER DRILLING L A BITTINGER DBA,BITTINGER DRILLING L A BITTINGER DBA,BOILING SPRINGS PRESB CH 1 OG,BOILING SPRINGS PRESBYTERIAN CHURCH CW-27,24339,465015,566798,BOILING SPRINGSL PRESBYTERIAN CHURCH CW-27,558951,COAL PILLAR LOCATION-O&G,Unavailable,005-26593-B,COAL PILLAR,005-26593-B,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4129755,emappa_land_recycling,2025-12-31T20:11:21Z
EMERALD COAL RESOURCES LP,EMERALD COAL RESOURCES LP,HARRY A MURDOCK JR 1 WELL,HARRY A MURDOCK JR 1,142442,112794,648936,HARRY A MURDOCK JR 1,794691,COAL PILLAR LOCATION-O&G,Unavailable,059-23431-B,COAL PILLAR,059-23431-B,Owner,INACTIVE,INACTIVE,ACTIVE,YES,4134670,emappa_land_recycling,2025-12-31T20:11:21Z
RAG CUMBERLAND RESOURCES CORP,RAG CUMBERLAND RESOURCES CORP,SD JOHNS 1 WELL,LUCY G PITCOCK W-416,40735,112287,542555,LUCY G PITCOCK W-416,427287,COAL PILLAR LOCATION-O&G,Unavailable,059-22908-B,COAL PILLAR,059-22908-B,Owner,ACTIVE,Active,Active,YES,4138385,emappa_land_recycling,2025-12-31T20:11:21Z
MCVILLE MINING CO,MCVILLE MINING CO,S L REDDICK 1 OG WELL,S L REDDICK 1,61203,646780,661248,S L REDDICK 1,839996,COAL PILLAR LOCATION-O&G,Unavailable,005-27829-B,COAL PILLAR,005-27829-B,Owner,ABANDONED,ACTIVE,ACTIVE,YES,4142272,emappa_land_recycling,2025-12-31T20:11:21Z
HARMAR COAL CO,HARMAR COAL CO,ORPHAN COAL PILLAR,ORPHAN COAL PILLAR,60949,264991,284845,ORPHAN COAL PILLAR,297921,COAL PILLAR LOCATION-O&G,Unavailable,003-00251-B,COAL PILLAR,003-00251-B,Owner,ACTIVE,Active,Active,YES,4154414,emappa_land_recycling,2025-12-31T20:11:21Z
AMFIRE MINING COMPANY LLC,AMFIRE MINING COMPANY LLC,JOHN W CHAMBERS 1 OG WELL,JOHN W CHAMBERS 1,206509,659947,671349,JOHN W CHAMBERS 1,903237,COAL PILLAR LOCATION-O&G,Unavailable,063-34418-B,COAL PILLAR,063-34418-B,Owner,ABANDONED,ACTIVE,ACTIVE,YES,4163235,emappa_land_recycling,2025-12-31T20:11:21Z
EMERALD COAL RESOURCES LP,EMERALD COAL RESOURCES LP,WB RHODES 387 OG WELL,WB RHODES 387,142442,684425,689619,WB RHODES 387,938351,COAL PILLAR LOCATION-O&G,Unavailable,059-24138-B,COAL PILLAR,059-24138-B,Owner,INACTIVE,INACTIVE,ACTIVE,YES,4182074,emappa_land_recycling,2025-12-31T20:11:21Z
CUMBERLAND COAL RESOURCES LP,CUMBERLAND COAL RESOURCES LP,CUMBERLAND COAL M500 WELL,CUMBERLAND COAL CO M-500,142445,111743,698974,CUMBERLAND COAL CO M-500,955962,COAL PILLAR LOCATION-O&G,Unavailable,059-24520-B,COAL PILLAR,059-24520-B,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4184757,emappa_land_recycling,2025-12-31T20:11:21Z
MCVILLE MINING CO,MCVILLE MINING CO,BIBLICIAL LIFE INST INC 2 OG WELL,BIBLICAL LIFE INSTITUTE INC 2,61203,665705,697746,BIBLICAL LIFE INSTITUTE INC 2,953400,COAL PILLAR LOCATION-O&G,Unavailable,005-29504-B,COAL PILLAR,005-29504-B,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4185753,emappa_land_recycling,2025-12-31T20:11:21Z
ROSEBUD MINING CO,ROSEBUD MINING CO,WILSON 2 OG WELL,J P WILSON 24639,51461,12214,546490,J P WILSON 24639,440344,COAL PILLAR LOCATION-O&G,Unavailable,005-26158-B,COAL PILLAR,005-26158-B,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4187131,emappa_land_recycling,2025-12-31T20:11:21Z
