attributes_objectid,attributes_facility_id,attributes_facility_name,attributes_facility_address1,attributes_facility_address2,attributes_facility_city,attributes_facility_state,attributes_facility_zip,attributes_county_id,attributes_facility_county,attributes_municipality_id,attributes_facility_municipality,attributes_reg_expiration_date,attributes_tank_owner_id,attributes_tank_owner_name,attributes_tank_owner_address1,attributes_tank_owner_address2,attributes_tank_owner_city,attributes_tank_owner_state,attributes_tank_owner_zip,attributes_primary_facility_id,attributes_site_id,attributes_tank_information,.source,.downloaded_at
1,46-42828,JIMS LIBERTY SVC STA,790 E JOHNSON HWY,,NORRISTOWN,PA,19401-3110,2453,Montgomery,1803,Norristown Boro,1770163200000,213053,NORRIS HILLS ASSOC LP,600 OLD ELM ST,,CONSHOHOCKEN,PA,19428-1044,605470,584393,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-42828&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
2,46-42857,WYNDMOOR AUTO SVC,1000 E WILLOW GROVE AVE,,WYNDMOOR,PA,19038-7954,2453,Montgomery,1807,Springfield Twp,1801699200000,303733,PENN J PETRO LLC,1328 JACOB DR,,YARDLEY,PA,19067-3951,605480,584403,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-42857&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
3,46-43242,UPPER MONTGOMERY JT AUTH,1100 MENSCH DAM RD,,PENNSBURG,PA,18073-1730,2453,Montgomery,1852,Upper Hanover Twp,1801699200000,52553,UPPER MONTGOMERY JT AUTH,1100 MENSCH DAM RD,,PENNSBURG,PA,18073-1730,605588,449581,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-43242&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
4,46-43741,LUKOIL 69712,199 W GERMANTOWN PIKE,,PLYMOUTH MEETING,PA,19462-1418,2453,Montgomery,1842,Plymouth Twp,1801699200000,294639,LUKOIL NORTH AMER LLC,302 HARPER DR STE 303,,MOORESTOWN,NJ,08057-4701,605703,515286,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-43741&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
5,51-42937,CHELTEN HILLS CEMETERY,1701 E WASHINGTON LN,,PHILADELPHIA,PA,19138,2458,Philadelphia,1975,Philadelphia City,1770163200000,167962,CHELTEN CEMETERY CO,1701 E WASHINGTON LN,,PHILADELPHIA,PA,19138,609492,587411,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-42937&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
6,51-43054,EZ GAS STA,1701 COTTMAN AVE,,PHILADELPHIA,PA,19111-3802,2458,Philadelphia,1975,Philadelphia City,1770163200000,241571,GURU KRUPA INC,1701 COTTMAN AVE,,PHILADELPHIA,PA,19111-3802,609519,587434,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-43054&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
9,51-44009,HOSP UNIV OF PA,3400 SPRUCE ST,,PHILADELPHIA,PA,19104-4206,2458,Philadelphia,1975,Philadelphia City,1770163200000,251831,TRUSTEES OF THE UNIV OF PA,3600 CIVIC CENTER BLVD,,PHILADELPHIA,PA,19104-4310,609734,502483,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-44009&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
10,51-44392,SEPTA CALLOWHILL DIST,59TH & CALLOWHILL STS,,PHILADELPHIA,PA,19139,2458,Philadelphia,1975,Philadelphia City,1801699200000,131920,SEPTA,1234 MARKET ST FL 6,,PHILADELPHIA,PA,19107-3701,609827,446741,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-44392&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
11,63-06682,COEN MKT 1201,1133 STATE ROUTE 40 W,,CLAYSVILLE,PA,15323-2207,2470,Washington,2340,Claysville Boro,1791072000000,130077,COEN MKT INC,1000 PHILADELPHIA ST,,CANONSBURG,PA,15317-1700,613230,590506,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=63-06682&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
12,63-09693,COEN MKT 1220,1300 JEFFERSON AVE,,WASHINGTON,PA,15301-2116,2470,Washington,2322,Washington City,1791072000000,130077,COEN MKT INC,1000 PHILADELPHIA ST,,CANONSBURG,PA,15317-1700,613270,590542,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=63-09693&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
