claim_number,contract_id,adjuster,site_name,department,brings_to_closure,consultant,contract_start,contract_end,contract_category,bid_approval_date,bid_type,contract_type,base_price,amendments_total,paid_to_date,notes,contract_year,total_contract_value,is_bid_to_result,is_scope_of_work,auction_type,brings_to_closure_flag
19940003,19940003001,"Marion,Shane",Griffith Amoco,Silvas Amoco,Yes,"Letterle & Associates Inc,",2010-08-23,2019-12-14,Sole Source,NA,NA,Fixed Price,26346.34,0,21333,Relief of Liability issued  12/4/2019 10:17:09 AM (dbollana),2010,26346.34,FALSE,FALSE,Other/Unknown,TRUE
19940028,19940028001,"Aubel,Tracy",Beltrami Brothers,GOLDYS MINI MKT,Yes,"Trimpi Associates, Inc.,",2008-05-19,2012-11-23,Competitively Bid,NA,Bid to Result,Fixed Price,132441.25,0,118664.5,90% proration,2008,132441.25,TRUE,FALSE,Bid-to-Result,TRUE
19940044,19940044001,"Marion,Shane",Girard Medical Center,Girard Medical Center,No,"Alpha Geological Services Inc.,",2020-07-21,2023-02-08,Competitively Bid,2019-05-10,Defined Scope of Work,Fixed Price,108220,0,108220,Final milestone invoice processed; contract closed  2/8/2023 04:56:35 PM (dbollana),2020,108220,FALSE,TRUE,Scope of Work,FALSE
19940059,19940059001,"Goodyear,Jennifer",Red Arrow Service,RED ARROW KWIK PICKENS,Yes,"MEA, Inc.,",2010-06-10,2015-12-21,Sole Source,NA,NA,Fixed Price,279689,0,274689,NA,2010,279689,FALSE,FALSE,Other/Unknown,TRUE
19950027,19950027001,"Marion,Shane",Shillito Oil,SHILLITO BULK PLT,Yes,"Groundwater Services International, Inc.,",2007-03-08,2012-06-25,Competitively Bid,NA,Defined Scope of Work,Fixed Price,182636.02,0,182636.02,"Milestones C, Da and Db were ongoing and billed quarterly.",2007,182636.02,FALSE,TRUE,Scope of Work,TRUE
19950034,19950034001,"Marion,Shane",Charleroi Gulf,Charleroi Gulf,No,"Converse Consultants,",2009-06-09,2012-04-17,Competitively Bid,NA,Defined Scope of Work,Fixed Price,34950,28040,59230,NA,2009,62990,FALSE,TRUE,Scope of Work,FALSE
19950103,19950103001,"Aubel,Tracy",Fuel Stop,FUEL STOP,No,"Kleinfelder Eastern Merger Corporation,",2007-07-10,2008-02-26,Competitively Bid,NA,Defined Scope of Work,Fixed Price,72862,0,72862,NA,2007,72862,FALSE,TRUE,Scope of Work,FALSE
19950132,19950132001,"Aubel,Tracy",Shop 'N' Go,K & D Corner Stop,No,"American Environmental Assoc Inc,",2009-04-08,2011-12-19,Sole Source,NA,NA,Fixed Price,117005.83,0,113707.15,"A1 $54.15/ton; A2 $15.46/ton; A3 $16.50/ton; A4 $34.27/cubic yd; A5 $$0.35/gal; A6 $7.34/sq ft.    C5 $6,141.32, only 2 MW replaced due to excavation area.",2009,117005.83,FALSE,FALSE,Other/Unknown,FALSE
19950190,19950190002,"Hawk,Gerald",Sheetz #17,SHEETZ 17,No,"Mountain Research LLC,",2007-12-05,2010-05-19,Sole Source,NA,NA,Fixed Price,472803.32,0,472803.32,NA,2007,472803.32,FALSE,FALSE,Other/Unknown,FALSE
19950238,19950238001,"Aubel,Tracy",Zippy Market,Zippy Mart,Yes,"MEA, Inc.,",2009-08-03,2020-09-10,Sole Source,NA,NA,Fixed Price,313255.99,0,283841.94,"Paid at 70% proration- actual cost of contract $84,099.37

Contract terminated; claimant entity dissolved  9/10/2020 03:25:21 PM (dbollana)",2009,313255.99,FALSE,FALSE,Other/Unknown,TRUE
19950305,19950305001,"Marion,Shane",LBH Company,LBH Company,No,"Liberty Environmental, Inc.,",2011-08-19,2016-03-31,Competitively Bid,NA,Bid to Result,Time and Material,209979.12,47934.15,224400.95,"Contract total if optional milestones are required: $209,979.12                                                           10/19/12 Liberty purchase of AES assets and contract assignment.   7/11/13 Amendment #1 changes TFP to $200,262.88 (or  $205,724.32 if optional milestones are necessary)",2011,257913.27,TRUE,FALSE,Bid-to-Result,FALSE
19950305,19950305002,"Marion,Shane",LBH Company,LBH Company,Yes,"Liberty Environmental, Inc.,",2016-08-02,2020-11-05,Sole Source,NA,NA,Fixed Price,151059.2,0,128213.2,Mutually terminated; sow changed and contract could not be completed in contracted timeframe.,2016,151059.2,FALSE,FALSE,Other/Unknown,TRUE
19950311,19950311001,"Bilder,Jack",Kwik Fill M-090,Kwik Fill M 90,Yes,"Austin James Associates,",2005-08-02,2008-09-16,Sole Source,NA,NA,Pay for Performance,NA,0,0,File closed 9/16/08 as aggregate reached  Payment history not imaged but may be recalled from offsite storage if necessary.,2005,0,FALSE,FALSE,Other/Unknown,TRUE
