facility_id,facility_name,client_id,client_name,region,tank_type,tank_seq,capacity_gallons,install_date,substance,component_code,component_desc,construction_desc,construction_comment,construction_detail,permit_status,tank_status,tank_age_years,install_year,is_single_wall,is_double_wall,is_fiberglass,wall_type,status_desc,is_underground
01-00001,MCSHERRYSTOWN FIRE CO,187035,MCSHERRYSTOWN FIRE CO,4300,UST,001,500,1987-05-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,38.666666666666664,1987,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-00045,HUNTINGTON TWP MUNI BLDG,37305,HUNTINGTON TWP ADAMS CNTY,4300,UST,002,500,1980-06-01,Diesel Fuel,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,45.57973990417522,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-02192,RRMC,163703,RRMC,4300,UST,001,5000,1959-12-01,Gasoline,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,UR,66.080766598220393,1959,FALSE,FALSE,FALSE,Unknown/Other,Under Review,TRUE
01-04528,U HAUL CTR GETTYSBURG,129042,U HAUL FALLS MFG CO,4300,UST,003,2000,1979-04-01,Kerosene,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,46.74880219028063,1979,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-04528,U HAUL CTR GETTYSBURG,129042,U HAUL FALLS MFG CO,4300,UST,002,4000,1979-04-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,46.74880219028063,1979,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-04528,U HAUL CTR GETTYSBURG,129042,U HAUL FALLS MFG CO,4300,UST,001,4000,1979-04-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,46.74880219028063,1979,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-05645,LITTLES 66,178839,MILDRED LITTLE,4300,UST,002,1000,1960-11-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,65.160848733744,1960,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-05645,LITTLES 66,178839,MILDRED LITTLE,4300,UST,001,1000,1960-11-01,Kerosene,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,65.160848733744,1960,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-05645,LITTLES 66,178839,MILDRED LITTLE,4300,UST,005,1000,1993-12-05,Gasoline,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,W,32.068446269678304,1993,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-05645,LITTLES 66,178839,MILDRED LITTLE,4300,UST,003,3000,1969-10-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,56.24640657084189,1969,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-05645,LITTLES 66,178839,MILDRED LITTLE,4300,UST,004,4000,1969-10-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,56.24640657084189,1969,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-11543,69012 PETRO USA,186021,GETTY PETRO MKT INC,4300,UST,004,4000,1984-12-01,Kerosene,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,41.07871321013005,1984,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
